k,t_s,offset_ns,offset_simulink_ns,meas_ns,corr_ppb,freq_adj,adj_valid
107,0.107,-35.2847900390625,-35.2847619981777,-18.2846795965967,36971.569370899,-1016267,0
108,0.108,-34.75634765625,-34.7563513840486,-22.2182906959157,36553.2236791115,-1004767,0
109,0.109,-33.8095703125,-33.8095923931934,-140.715174296919,26037.7801105557,-715721,0
110,0.11,-22.347412109375,-22.3473882040103,-123.319052580997,27013.0953134326,-742530,0
111,0.111,-11.8604736328125,-11.8605031773026,-20.6123695718529,35564.4197986476,-977587,0
112,0.112,-9.9249267578125,-9.92493802660096,-101.19310536738,28391.9374135715,-780432,0
113,0.113,-0.81689453125,-0.816891982443433,12.9898310089123,38040.5254346948,-1045650,0
114,0.114,-1.357421875,-1.35743513086835,-98.4442367186032,28285.6113274966,-777509,0
115,0.115,7.85693359375,7.85693720865361,14.8445772148208,37866.3691070729,-1040863,0
116,0.116,7.4906005859375,7.49055033630553,-90.0226184156741,28696.6622824335,-788808,0
117,0.117,16.2938232421875,16.2938750144044,103.94722882566,45410.5995421658,-1248237,0
118,0.118,8.38330078125,8.38325365323379,-38.0401076813449,33326.0975889531,-916061,0
119,0.119,12.55712890625,12.5571427440997,-19.0138597056746,34850.2250656861,-957956,0
120,0.12,15.2069091796875,15.2068991792978,34.6356701333384,39496.3169734012,-1085666,0
121,0.121,13.2105712890625,13.210565749914,65.9669294468945,42390.2094186806,-1165213,0
122,0.122,8.3204345703125,8.32033952214309,44.5135257784978,40762.747333318,-1120478,0
123,0.123,5.0576171875,5.05758327839718,63.4188770297055,42602.1576431978,-1171039,0
124,0.124,-0.0445556640625,-0.044588280216197,-13.162529275447,36113.3716148577,-992677,0
125,0.125,1.342041015625,1.34202620960418,23.5304316946008,39290.3865146424,-1080006,0
126,0.126,-0.4483642578125,-0.448375638883294,10.9829594815452,38279.1071042238,-1052208,0
127,0.127,-1.2274169921875,-1.2274983198936,16.7821057138344,38832.7926966984,-1067428,0
128,0.128,-2.560302734375,-2.56030039314212,9.4986483479926,38258.1042018625,-1051631,0
129,0.129,-3.318359375,-3.31842101333963,-2.33047421578561,37254.6420799279,-1024048,0
130,0.13,-3.0731201171875,-3.07307389064334,10.4435900157438,38369.5590200986,-1054694,0
131,0.131,-3.942626953125,-3.94265295687933,-74.1772967627599,30964.1522769724,-851136,0
132,0.132,2.5931396484375,2.59318089377472,79.5953405779398,44203.2923953346,-1215051,0
133,0.133,-4.110107421875,-4.11013118919065,-57.4509768852933,32457.4588631718,-892184,0
134,0.134,0.932373046875,0.932395818283633,3.41708087572918,37587.0314893987,-1033184,0
135,0.135,0.8453369140625,0.845346197956705,-12.2239745657335,36224.1092458473,-995721,0
136,0.136,2.1212158203125,2.12121991818087,-64.0887128715658,31611.7520233485,-868937,0
137,0.137,8.009521484375,8.00945128062125,67.3501928775572,42925.3534908544,-1179923,0
138,0.138,2.584228515625,2.5840876979201,36.7381425905952,40497.3916270824,-1113184,0
139,0.139,-0.4132080078125,-0.413307529816868,4.34137752974399,37791.5184886751,-1038805,0
140,0.14,-0.704833984375,-0.704832697219949,-32.9145071259294,34530.1403974633,-949157,0
141,0.141,2.2650146484375,2.26501174829564,49.54647026787,41656.7599339845,-1145052,0
142,0.142,-1.8917236328125,-1.8917629793095,5.91420332162116,38012.7299073321,-1044886,0
143,0.143,-2.4044189453125,-2.40450446153329,-80.7073864558749,30413.3792816262,-835997,0
144,0.144,4.68212890625,4.68210890022448,-81.1905866381368,30052.2249038594,-826069,0
145,0.145,12.1298828125,12.1298712124699,37.5982230635188,40185.0997215577,-1104600,0
146,0.146,9.44482421875,9.44475804627327,52.0559225939874,41605.8150648937,-1143652,0
147,0.147,5.3389892578125,5.33893438491281,-54.9732296748227,32392.7664476395,-890406,0
148,0.148,10.4461669921875,10.4461586076927,23.3391111703241,39067.2181312562,-1073872,0
149,0.149,8.87890625,8.87892727251453,43.9754343255089,40975.3573798129,-1126322,0
150,0.15,5.403564453125,5.40355413406478,-26.2650364079089,34967.8109699893,-961188,0
151,0.151,19.9356689453125,19.9357300805004,25.249311742118,39397.3792434532,-1082947,0
152,0.152,30.038330078125,30.0383315062379,117.842951947644,47645.3038642974,-1309664,0
153,0.153,31.89306640625,31.893013323992,-45.0443756388156,33776.4630109782,-928440,0
154,0.154,47.616455078125,47.6165407863398,23.9312150759731,39668.4797988576,-1090399,0
155,0.155,57.447998046875,57.4480394568154,59.9201416486788,42929.9857743756,-1180050,0
156,0.156,64.01806640625,64.018035711645,60.9375562025235,43256.082974343,-1189014,0
157,0.157,70.261962890625,70.2619409482209,58.2068047410564,43256.3583176214,-1189022,0
158,0.158,76.505615234375,76.5055701925069,18.2475273517243,39969.7423724779,-1098680,0
159,0.159,86.035888671875,86.0358175013179,97.2977308116852,46998.201514939,-1291877,0
160,0.16,88.53759765625,88.5376081448177,50.6649219039555,43278.6457723034,-1189634,0
161,0.161,94.759033203125,94.7589476259315,-17.5915272042775,37472.1033624557,-1030025,0
162,0.162,106.786865234375,106.786837929271,84.1345237158225,46354.544494022,-1274184,0
163,0.163,109.932373046875,109.932282310959,94.4523320888959,47594.6747304825,-1308272,0
164,0.164,111.837646484375,111.837602145899,120.830859102988,50288.8829148096,-1382330,0
165,0.165,111.048828125,111.048710071762,85.2748140919634,47636.991185578,-1309436,0
166,0.166,112.911743164062,112.911716388804,-13.6038840032379,39272.3307192354,-1079510,0
167,0.167,123.139404296875,123.139375605801,110.030614794032,50098.4584793503,-1377096,0
168,0.168,122.540893554688,122.540907336984,131.017840502335,52379.7352088878,-1439803,0
169,0.169,119.661254882812,119.661158714244,51.4829951759372,45897.9272544681,-1261633,0
170,0.17,123.26318359375,123.263227667188,148.733837956581,54659.2562841193,-1502462,0
171,0.171,118.10400390625,118.103955628858,184.305790242947,58376.7892775721,-1604649,0
172,0.172,109.227172851562,109.227158549946,92.8133515291952,51053.0939306411,-1403337,0
173,0.173,107.674072265625,107.674054018696,113.205705213171,53214.0481666682,-1462737,0
174,0.174,103.9599609375,103.959995655069,138.341537438084,55872.9375266422,-1535824,0
175,0.175,97.5870361328125,97.5870433426311,121.537110801305,54940.3203724112,-1510188,0
176,0.176,92.146728515625,92.1467104680413,92.1868995945889,52837.3302996637,-1452381,0
177,0.177,88.809326171875,88.8093698603861,75.6281003538035,51744.109846074,-1422331,0
178,0.178,86.5653076171875,86.565244344796,45.5235066703202,49393.4853421243,-1357718,0
179,0.179,86.6717529296875,86.6717525732329,169.985186023191,60525.8399295114,-1663722,0
180,0.18,75.6458740234375,75.6459009274796,65.9467719813612,52041.5610082499,-1430508,0
181,0.181,73.104248046875,73.1043258054714,-13.8200972661549,45282.4343702509,-1244714,0
182,0.182,77.32177734375,77.3218727400443,125.411579927974,57480.2602193275,-1580005,0
183,0.183,69.341552734375,69.3415919664322,89.5021021912991,54815.3510960557,-1506753,0
184,0.184,64.0262451171875,64.0262248819202,150.154983880677,60506.1589841722,-1663181,0
185,0.185,53.02001953125,53.0200549875281,29.7153321272907,50500.2815062352,-1388141,0
186,0.186,52.019775390625,52.0197577501059,-20.6482789592083,46185.5998618618,-1269540,0
187,0.187,55.3341064453125,55.3341466895938,-18.9783284587431,46251.0361005718,-1271339,0
188,0.188,58.5830078125,58.5830943661541,107.528100182399,57308.6753802372,-1575289,0
189,0.189,50.7744140625,50.7743985289398,-2.28262514873575,48069.8524906174,-1321334,0
190,0.19,52.2044677734375,52.2045342233062,35.0481601833511,51345.9497957538,-1411387,0
191,0.191,50.3585205078125,50.358565459321,141.033826066179,60811.0585298466,-1671562,0
192,0.192,39.0474853515625,39.0474895907546,77.0012659599805,55732.9947858104,-1531977,0
193,0.193,32.814453125,32.8144808714397,-81.9949315200081,42045.3304055814,-1155733,0
194,0.194,40.26904296875,40.2691344469797,23.5904084728983,51013.1243353161,-1402238,0
195,0.195,38.7559814453125,38.7559883748445,35.7442580207436,52175.7980281775,-1434197,0
196,0.196,36.0802001953125,36.0801756889772,73.1188945408955,55605.8843726168,-1528483,0
